Name,Platform,Year,Genre,Publisher
Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive
Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo
Super Mario 64,N64,1996,Platform,Nintendo
Super Mario Galaxy,Wii,2007,Platform,Nintendo
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo
Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo
Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive
Gran Turismo,PS,1997,Racing,Sony Computer Entertainment
Super Mario 3D Land,3DS,2011,Platform,Nintendo
Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment
Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision
Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive
Super Mario All-Stars,SNES,1993,Platform,Nintendo
Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo
Super Mario 64,DS,2004,Platform,Nintendo
Just Dance 3,Wii,2011,Misc,Ubisoft
Call of Duty: Ghosts,X360,2013,Shooter,Activision
Halo: Reach,X360,2010,Shooter,Microsoft Game Studios
Mario Kart 64,N64,1996,Racing,Nintendo
New Super Mario Bros. 2,3DS,2012,Platform,Nintendo
Halo 4,X360,2012,Shooter,Microsoft Game Studios
Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment
Call of Duty: Ghosts,PS3,2013,Shooter,Activision
Just Dance 2,Wii,2010,Misc,Ubisoft
Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment
Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision
Donkey Kong Country,SNES,1994,Platform,Nintendo
Minecraft,X360,2013,Misc,Microsoft Game Studios
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo
Mario Party DS,DS,2007,Misc,Nintendo
The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks
Super Mario Kart,SNES,1992,Racing,Nintendo
FIFA 16,PS4,2015,Sports,Electronic Arts
Wii Party,Wii,2010,Misc,Nintendo
Halo 2,XB,2004,Shooter,Microsoft Game Studios
Mario Party 8,Wii,2007,Misc,Nintendo
Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo
FIFA Soccer 13,PS3,2012,Action,Electronic Arts
The Sims 3,PC,2009,Simulation,Electronic Arts
GoldenEye 007,N64,1997,Shooter,Nintendo
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega
Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft
Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo
Pac-Man,2600,1982,Puzzle,Atari
Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive
Super Mario Galaxy 2,Wii,2010,Platform,Nintendo
Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts
Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision
The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo
Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment
Super Mario Bros. 2,NES,1988,Platform,Nintendo
Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo
Call of Duty: World at War,X360,2008,Shooter,Activision
Battlefield 3,X360,2011,Shooter,Electronic Arts
The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo
Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision
Just Dance,Wii,2009,Misc,Ubisoft
Battlefield 3,PS3,2011,Shooter,Electronic Arts
Tekken 3,PS,1998,Fighting,Sony Computer Entertainment
Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment
Super Smash Bros. Melee,GC,2001,Fighting,Nintendo
Mario Kart 8,WiiU,2014,Racing,Nintendo
Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks
Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment
Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment
Zumba Fitness,Wii,2010,Sports,505 Games
Gears of War 2,X360,2008,Shooter,Microsoft Game Studios
Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment
Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision
FIFA 12,PS3,2011,Sports,Electronic Arts
Big Brain Academy,DS,2005,Misc,Nintendo
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive
FIFA 15,PS4,2014,Sports,Electronic Arts
Donkey Kong Country Returns,Wii,2010,Platform,Nintendo
The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks
The Legend of Zelda,NES,1986,Action,Nintendo
Assassin's Creed III,PS3,2012,Action,Ubisoft
Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo
Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo
Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios
Red Dead Redemption,X360,2010,Action,Take-Two Interactive
Super Mario Sunshine,GC,2002,Platform,Nintendo
Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom
World of Warcraft,PC,2004,Role-Playing,Activision
Driver,PS,1999,Action,GT Interactive
Kinect Sports,X360,2010,Sports,Microsoft Game Studios
Gears of War 3,X360,2011,Shooter,Microsoft Game Studios
Gears of War,X360,2006,Shooter,Microsoft Game Studios
Sonic the Hedgehog 2,GEN,1992,Platform,Sega
Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment
Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment
The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts
Resident Evil 2,PS,1998,Action,Virgin Interactive
Tekken 2,PS,1996,Fighting,Sony Computer Entertainment
Cooking Mama,DS,2006,Simulation,505 Games
Destiny,PS4,2014,Shooter,Activision
Tetris,NES,1988,Puzzle,Nintendo
Assassin's Creed II,PS3,2009,Action,Ubisoft
Super Smash Bros.,N64,1999,Fighting,Nintendo
Assassin's Creed,X360,2007,Adventure,Ubisoft
Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment
Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios
Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom
Super Mario Advance,GBA,2001,Platform,Nintendo
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo
Super Mario World,GBA,2001,Platform,Nintendo
Pokemon Stadium,N64,1999,Strategy,Nintendo
Call of Duty: World at War,PS3,2008,Shooter,Activision
Minecraft,PS3,2014,Misc,Sony Computer Entertainment
Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix
Dr. Mario,GB,1989,Puzzle,Nintendo
Pokemon Pinball,GB,1999,Misc,Nintendo
Assassin's Creed III,X360,2012,Action,Ubisoft
Final Fantasy IX,PS,2000,Role-Playing,SquareSoft
Donkey Kong 64,N64,1999,Platform,Nintendo
Assassin's Creed II,X360,2009,Action,Ubisoft
Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo
Tomb Raider II,PS,1997,Action,Eidos Interactive
Diablo III,PC,2012,Role-Playing,Activision
Super Mario Bros. 3,GBA,2003,Platform,Nintendo
FIFA Soccer 13,X360,2012,Action,Electronic Arts
Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo
Tomodachi Life,3DS,2013,Simulation,Nintendo
Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega
Kirby's Dream Land,GB,1992,Platform,Nintendo
Fable III,X360,2010,Role-Playing,Microsoft Game Studios
Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision
Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios
Resident Evil 5,PS3,2009,Action,Capcom
Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive
Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive
FIFA Soccer 11,PS3,2010,Sports,Electronic Arts
Super Mario Bros.,GB,1999,Platform,Nintendo
Resident Evil,PS,1996,Action,Virgin Interactive
Tony Hawk's Pro Skater,PS,1999,Sports,Activision
Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo
Warzone 2100,PS,1999,Strategy,Eidos Interactive
Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment
Link's Crossbow Training,Wii,2007,Shooter,Nintendo
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo
Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment
LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts
Diddy Kong Racing,N64,1997,Racing,Nintendo
Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom
Dr. Mario,NES,1990,Puzzle,Nintendo
God of War III,PS3,2010,Action,Sony Computer Entertainment
StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision
Assassin's Creed,PS3,2007,Adventure,Ubisoft
FIFA 15,PS3,2014,Sports,Electronic Arts
Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment
FIFA 17,PS4,2016,Sports,Electronic Arts
Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment
Driver 2,PS,2000,Action,
